W0vlXJEAAAAJ;Yongping  Chen;43752455,43752610,43752429,43752546,43752516,43752406
RR26ge0AAAAJ;Michael  Dunlop;10.2307/2261456
7SYpdAYAAAAJ;Philippe  Tropel;40663818
ovexfN4AAAAJ;Marie Charlotte Anstett;2845789,3547504
8AW24sEAAAAJ;Erik  Walum;4292760,4295911,4295841
CVknPmYAAAAJ;N.  Chandrasekar;43290638
f0vLUDsAAAAJ;Magnus Larson;4299220,4496114,4300007,4299490,4299219,4300354
6Doh6jUAAAAJ;Svetlana  Jevrejeva;23486334
8SQ_1dwAAAAJ;Steve Percival;4513551
vnaMPp0AAAAJ;Balouin  Yann;43290935
HxaYvvsAAAAJ;Dag  Myrhaug;43752526
syw8cEMAAAAJ;Muk Chen Ong;43752526
bu7OG-oAAAAJ;Lisa Amati;4094846
-76_qlcAAAAJ;John-Paul  Zonneveld;4094846,4524358,4524102,3515719,27670349
RqIP5R0AAAAJ;Tadamichi Morisaka;4094322
hsB_CXEAAAAJ;Tomonari Akamatsu;4094322
aAx_tTYAAAAJ;Ronald  Bialozyt;3599571
FJaxb4MAAAAJ;Lisette  Waits;4499145
C4l_ffEAAAAJ;Larry C. Purcell;23696182,24037478,4275366,42948154
3TnYTeoAAAAJ;Luis A. Ruedas;4094355,10.2307/1381729,10.2307/1383027,23259931,10.2307/1381324,30135132
4hTkmAEAAAAJ;Cord  Peppler-Lisbach;23012429,3236589,40295814
RZt9lRMAAAAJ;Amber  Wutich;40603014,24707688
lCUAfW8AAAAJ;Roberto F. Nicosia;20170485,4294255,4296035,4296929,4294293,4296784,4295087
dTgs0nsAAAAJ;Wolf B. Frommer;24039143,23695317,24037707,23694883,24030654,42948164,4279108,23389505,4356661,40066314,4280871,4281436,4629855,43191766,23383089,4280863,4279104,41496308,20779787,23385494,25680692
DnsvyscAAAAJ;Hervé  Cochard;23698010,23696741,24030895,24038562,24036865,23697042,40537824,4281567,41686807,43191782,4279522,23386986,40065220,25594955,43191358,4274614,40065214,41434346,4280289
QWJ9lJwAAAAJ;Zhenzhu  Xu;24038497,24037617,24125523
5Y9gS4MAAAAJ;Zhou  Zuren;1305601
5zSv9XsAAAAJ;Patrick D. O''Hara;3677397
YlCuU6UAAAAJ;Roberto  Battiston;25473416
0qyvdlYAAAAJ;Paulo A. Hartmann;4092860,10.2307/1566200
f8eMTcoAAAAJ;Catherine  Bellini;24037752,23382905,23598632,23384999,41812041,4281202,4282056,40065396,25758713,23391910,23385000
KGx36AMAAAAJ;Marta Fernandez;4524298,4523387
zIn4NoUAAAAJ;Nathan S. Upham;23488597
h7Mdb_gAAAAJ;Charlotte  Deerenberg;10.2307/5734,4219656
aDc52bAAAAAJ;Chiara Benvenuto;4540267,3884806
hMS-qSUAAAAJ;Carlo  Cerrano;4540267,4124900,40602794,4298372,24851961
SSmQI8YAAAAJ;Frans  Harren;23695782
USOKaLEAAAAJ;Marek  Dutkowski;25736031
iKWnZyoAAAAJ;Zorica  Jovanovic;24035988
GtmlLSAAAAAJ;Cathal  O''Mahony;41510787
IkmDPNYAAAAJ;Aldona  Mueller-Bieniek;23280339
Vo4JEOIAAAAJ;Allison H. Roy;40792589,4095691,1467999,40792578,40792577
dzjk_V4AAAAJ;C. Rhett Jackson;40792589,40792586
L7prRQgAAAAJ;W. Cully Hession;40792589
5cBmFUsAAAAJ;Spencer N. Bissett;43290113
NSSs7wsAAAAJ;Julie C. Zinnert;43290113,10.1086/667608,42952373
0Zb6pFAAAAAJ;John D. Bonagura;20096023
4zSbT-gAAAAJ;Jamie N. Womble;24873593
kFenrwMAAAAJ;Michael F. Sigler;24870653,24873593
y18Xk5wAAAAJ;Leland W. Pollock;10.2307/3226877
BeCU2hAAAAAJ;J. Jill Heatley;30135219,40236581,20095491,30134192,20095569,20079485,30133210,40236519,30134896,20096328,30135250,30136867,30134872
Mze3PPEAAAAJ;María José Carmona;4223222,4221701
rqPbCosAAAAJ;Sébastien  Baud;24029325,43191367,41434334
p3Me-dwAAAAJ;Marie-Noëlle  Vaultier;24029325,40065246
1FuD-BkAAAAJ;Adrian  Lussi;20095847
YbTfT9EAAAAJ;Jaehee  Lee;41511614
TwJOACQAAAAJ;John H. Long Jr;40931231,23016051
SJ3gKhQAAAAJ;Ronan Allain;4524511,4524249,4524106
_RFE0CIAAAAJ;William S. Davidson;10.2307/1382311
Vxfbn5MAAAAJ;Kathleen M. Brown;23697943,43191452,43191498,24370309,41434268,4281002,42951197,24146457,42952892,40065678
EENTptMAAAAJ;Miyako  Kusano;24039073,24039070,41496296,43191007,43563876,43191755
atV56FkAAAAJ;Kazuki  Saito;24039073,24039070,24037895,24030622,23696426,4356599,43191357,4279965,41496296,4629930,43191007,4277326,4273157,4281050,43191271,43191364,23381012,41435671,41435037,4278843,23391632,42568978,4277357,4356808,25680676,40065685
eb21jMAAAAAJ;Elisabetta  Mazzucotelli;41435407
HpLnWHsAAAAJ;Erik R. Seiffert;30126328
QM-TaKAAAAAJ;John  Pickard;10.2307/3897163,10.2307/2844639,10.2307/2844683
gkxDGecAAAAJ;Nobuyuki  Miyazaki;1383564,24871985,24873119,24867845,24872066
ZEl1lqEAAAAJ;Nicholas J. Kruger;41942691,41435678,4281809,40066213,23380189,23386247,4280121,25680679,4269397
_lCG2n0AAAAJ;Madhusudan V. Peshwa;20172185
IEYEJYsAAAAJ;Jipei  Yue;41761845,3393282
Fgi-DXQAAAAJ;S. James Reynolds;10.2307/3677236,30244439,40309843,4223508,40864687
eNyYjW0AAAAJ;Raul  Primicerio;27696401,40405915,3548403,23434635,24872799
dFjN5RgAAAAJ;Myeong Hwan Jho;44289501,44289537
I8PLKnYAAAAJ;Lianzhou  Wang;44177196,44161441
HkJY30gAAAAJ;Chunyu  Guo;44177196,44161441,43893631
1myWWNAAAAAJ;Chris  Carbone;3505320,20144086
YYSdbE4AAAAJ;John J. Ross;24036849,2995602,23598720,4279688,4275218,41549922,4629964,4281606,23385217,40066018,20205710,40537941,25758731,23391819,4280832,23382897,41693997,23386503,23389028,4630032,23388785,23389678,4277303
ttmtHq4AAAAJ;Hugh S. Mason;20171613,42568705,4272600,4274180,4271209
qh4Sdg0AAAAJ;Bingru  Huang;24039059,24038830,2995661,24037636,24037695,24035983,2995537,24040196,24035821,23694738,42950908,42947507,42949547
WeHnNSIAAAAJ;Liwen  Jiang;24037489,24039999,24037764,24038292,20779753,40065375,43563723,43191033,40066090,4277867,40066104,20206032,20205987,40065377,4277095
3ymp2eUAAAAJ;Satoshi  Wada;1549207,1549614,1549387,1549388,3547863
-bX-e94AAAAJ;Satomi  Kohno;25160184
3vhZq2cAAAAJ;Annemarie H. Meijer;23696331,23386234,4280764
c9pmKB8AAAAJ;Azlan  Mohamed;23488599
7x51fMwAAAAJ;Henry  Bernard;23488599,25145038
GZdDL3cAAAAJ;Petra  Cunningham-Smith;20096178
sOQL4SsAAAAJ;Alex  Potapov;20143971
e6sywZMAAAAJ;Rajendra G. Mehta;4295888
6dBqZAUAAAAJ;Ofir  Tal;24039552
AaJ7JAsAAAAJ;Abraham  Haim;24039552,30161332
PUalIEEAAAAJ;Zulkifli  Yusop;43595352,43594576,43594806,43581807
6Lq6zdEAAAAJ;Marcelo  Weksler;4126900,1383684,40802496,23259981
1ZAKnqcAAAAJ;Dietmar  Funck;24036138,4279108
jzwDn1AAAAAJ;Per  Mühlenbock;24036138
nVygnacAAAAJ;Stanislaw  Karpinski;24036138,24036954,4273336,20205752,4356632,23383601,20205660
joVwNjYAAAAJ;Damian J. Allen;23696070,23697176,4278965,4278266,23388558
RpNdLRkAAAAJ;Hideyuki  Suzuki;24037826,23389844,20205936,23388822
OOqvAZoAAAAJ;Daisuke  Shibata;24037826,43191357,4629874,40537855,4280544,4629930,4281955,23389844,4274088,4356514,20205936,43563864,4277550
TFX9eJ0AAAAJ;Stephanie D. Preston;27755064
Nb9_2p8AAAAJ;Lucia F. Jacobs;27755064
1d3JTSUAAAAJ;Marina  Meixner;25085613
YGgbWZUAAAAJ;Peter N. Adams;40065195
ud94P1gAAAAJ;James G. Mead;10.2307/1379619,1303352,10.2307/1380733,3504519
exmls_kAAAAJ;Eleanor  Bruce;27752789,43290938
a-73KeYAAAAJ;Volker  Koch;41474651
-lqpYrQAAAAJ;Nilesh  Bhatt;23353570
ZSvF7akAAAAJ;Cristina  Caldelas;24039573,20205964
2pBs8AkAAAAJ;Mohamed M. El-Fouly;43387216,42933185
U7r-UYcAAAAJ;Hiroaki Kanouchi;4295566,4295465
28F711wAAAAJ;Núria  Bonada;41318755,40205735,4095562,4095748,40213228
P0XA_U4AAAAJ;Donald  Brightsmith;41826551,27715328
Tyr2wicAAAAJ;M. Manuela Chaves;24036500,23697629,24038905
nN6VdToAAAAJ;Matthieu  Le Corre;20062549,41499979,40310170,24875626,24872552,24872958,24867979
4srM-0MAAAAJ;Lindsey N. Rich;23259968
tbo6kj0AAAAJ;David G. Groves;23486542,23486533
7sow4jwAAAAJ;Henry  Daniell;4293268,4293528,25680806,40065755,4629971,4280146,4356634,4281214
L5scn_4AAAAJ;Martha  Ludwig;24038806
ti2wZRwAAAAJ;John R. Evans;24037852,24038806,23694975,4268022,25704933,4278947,41433983,24129602,4222055,41434321,4279168,23598515
gg2JhGcAAAAJ;Phil  Jordan;3838437
9bpMTGsAAAAJ;Waldemar Zangaro;4499069,4092168
FCbR96EAAAAJ;Galdino Andrade;4499069
4tc-7QYAAAAJ;Tatsuo  Oji;1306501,3227073,1305993,27670336,4096971,2401148
95EbE4gAAAAJ;David J. Marshall;827441,4219787
9fg4Cf4AAAAJ;William O. Lamp;25084252,20491133,25623121,25084035,25085199,25085541,25084433,25085497,40792585
1dO2Z5AAAAAJ;Elizabeth A.  Zimmer;3691705
oW4F2rQAAAAJ;Olivier  Maridet;30137907
_ZI1_D0AAAAJ;Gilles  Escarguel;30137907,23014905
qzi1OWMAAAAJ;Serge  Legendre;30137907,27670508,23014905
fkfrZ7EAAAAJ;Dario G. Lazo;4095052
XpGur8gAAAAJ;Susi Varvayanis;4294381,4296915,4294993
ZCw29pEAAAAJ;Bruna  Gumiero;41318859
w1jWZwIAAAAJ;Bruno  Boz;41318859
X0az49EAAAAJ;John D. Oswald;25009581,25009712,25010014,25010323
PpQjxoUAAAAJ;Beatriz  Lagunas;24038837
w7C-mCIAAAAJ;Rafael  Picorel;24038837,4271855,23386147,23388476,4271386
7KoLSCkAAAAJ;Simon M. Landhausser;10.2307/2404790,10.2307/2261664
P3BLE7kAAAAJ;Christian  Pott;20144243
pEYihI4AAAAJ;Carmen  Tanner;24706979
zzmCzmEAAAAJ;Bruce Evan Goldstein;27654253
G3LidLwAAAAJ;N.  Prakash;41761606
